slug_en,slug_ar,label_en,label_ar,search_vol,module_hint,plan_gate
ppt-learning-objectives,اهداف-تعلم-بوربوينت,Learning Objectives Slides,أهداف تعلم في بوربوينت,1200,deck,free
ppt-course-outline,مخطط-دورة-بوربوينت,Course Outline Slides,مخطط دورة بوربوينت,1100,deck,free
ppt-quiz-template,قالب-اختبار-بوربوينت,Quiz Template PPT,قالب اختبار بوربوينت,900,quiz,pro_edu
ppt-interactive-quiz,اختبار-تفاعلي-بوربوينت,Interactive PPT Quiz,اختبار تفاعلي بوربوينت,950,quiz,pro_edu
ppt-scorm-cloud,سكورم-كلاود-بوربوينت,Send PPT to SCORM Cloud,إرسال بوربوينت إلى SCORM كلاود,800,scorm,pro_edu
ppt-moodle-import,استيراد-بوربوينت-مودل,Import PPT to Moodle,استيراد بوربوينت إلى مودل,850,scorm,pro_edu
ppt-lms-export,تصدير-بوربوينت-نظام-تعلم,Export PPT to LMS,تصدير بوربوينت إلى نظام تعلم,780,scorm,pro_edu
ppt-branching-scenarios,سيناريوهات-متفرعة-بوربوينت,Branching Scenarios PPT,سيناريوهات متفرعة بوربوينت,650,branching,enterprise
ppt-adaptive-learning,تعلم-تكيفي-بوربوينت,Adaptive Learning Slides,شرائح تعلم تكيفي,600,branching,enterprise
ppt-xapi-export,export-xapi-ppt,Export PPT to xAPI,تصدير بوربوينت إلى xAPI,550,branching,enterprise
ppt-ssu,بوربوينت-مؤسسة,SSO PowerPoint Portal,بوابة بوربوينت SSO,500,branching,enterprise
ppt-sla-monitor,مراقبة-sla-بوربوينت,PPT SLA Monitoring,مراقبة SLA بوربوينت,450,branching,enterprise
ppt-localize,تعريب-بوربوينت,Localize PPT Slides,تعريب شرائح بوربوينت,3100,deck,starter
ppt-accessibility,وصول-ذوي-احتياجات-بوربوينت,Accessible PPT Design,تصميم بوربوينت موائم,1250,deck,starter
ppt-template-corporate,قالب-بوربوينت-شركات,Corporate PPT Template,قالب بوربوينت للشركات,2150,deck,free
ppt-template-education,قالب-بوربوينت-تعليمي,Education PPT Template,قالب بوربوينت تعليمي,2300,deck,free
ppt-training-video,فيديو-تدريب-بوربوينت,Training Video from PPT,فيديو تدريبي من بوربوينت,1350,video,business
ppt-marketing-video,فيديو-تسويق-بوربوينت,Marketing Video PPT,فيديو بوربوينت تسويقي,1550,video,business
ppt-rfp-slides,عرض-منصة-عطاءات,RFP Response Slides,شرائح رد على عطاء,950,deck,starter
ppt-investor-deck,عرض-مستثمرين-بوربوينت,Investor Deck PPT,عرض بوربوينت للمستثمرين,3500,deck,starter
ppt-pitch-deck,عرض-تقديم-بوربوينت,Pitch Deck PPT,عرض تقديمي بوربوينت,3800,deck,starter
ppt-roadmap-slide,شريحة-خارطة-الطريق,Product Roadmap Slide,شريحة خارطة الطريق,1650,deck,starter
ppt-okrs,شرائح-أهداف-نتائج,OKR Slides,شرائح OKR,1700,deck,starter
ppt-vs-keynote,بوربوينت-مقابل-كينوت,PPT vs Keynote,بوربوينت مقابل كينوت,1300,deck,free
ppt-to-prezi,بوربوينت-إلى-بريزي,Convert PPT to Prezi,تحويل بوربوينت إلى بريزي,1200,deck,free
ppt-live-share,مشاركة-حيّة-بوربوينت,Live Share PPT,مشاركة بوربوينت حيّة,1400,deck,starter
ppt-slide-count,عدد-شرائح-بوربوينت,Count Slides in PPT,عدد الشرائح في بوربوينت,900,deck,free
ppt-speaker-notes,ملاحظات-المتحدث-بوربوينت,Export Speaker Notes,تصدير ملاحظات المتحدث,950,deck,free
ppt-watermark-remove,إزالة-علامة-مائية-بوربوينت,Remove PPT Watermark,إزالة علامة مائية من بوربوينت,1500,deck,starter
ppt-white-label,بوربوينت-بدون-علامة,White‑Label PPT,بوربوينت بدون علامة تجارية,700,business,business
ppt-api-generate,api-بوربوينت,Generate PPT via API,إنشاء بوربوينت عبر API,600,data_charts,business
ppt-ai-summary,ملخص-ذكاء-اصطناعي-بوربوينت,AI Summary Slides,شرائح ملخص ذكاء اصطناعي,2400,deck,starter
ppt-auto-translate,ترجمة-تلقائية-بوربوينت,Auto‑translate Slides,ترجمة تلقائية للشرائح,2600,deck,starter
ppt-content-ai,محتوى-ذكاء-اصطناعي-بوربوينت,Generate Slide Content AI,إنشاء محتوى شرائح بالذكاء الاصطناعي,2900,deck,starter
ppt-photo-gallery,معرض-صور-بوربوينت,Photo Gallery PPT,معرض صور بوربوينت,1150,deck,starter
ppt-risk-register,سجل-مخاطر-بوربوينت,Risk Register Slides,شرائح سجل المخاطر,800,deck,starter
ppt-sop-template,قالب-إجراءات-بوربوينت,SOP Template PPT,قالب إجراءات تشغيل,900,deck,free
ppt-onboarding-kit,مجموعة-تهيئة-بوربوينت,Employee Onboarding Kit,مجموعة تهيئة الموظفين,1000,deck,free
ppt-team-charter,ميثاق-فريق-بوربوينت,Team Charter Slide,شريحة ميثاق الفريق,850,deck,free
ppt-brand-guidelines,دليل-هوية-بوربوينت,Brand Guidelines Slides,شرائح دليل الهوية,900,data_charts,business
ppt-market-analysis,تحليل-سوق-بوربوينت,Market Analysis PPT,تحليل سوق بوربوينت,1250,data_charts,business
ppt-swot-template,قالب-swot-بوربوينت,SWOT Template PPT,قالب تحليل SWOT,1300,deck,starter
ppt-gdpr-compliance,امتثال-gdpr-بوربوينت,GDPR Compliance Slides,شرائح امتثال GDPR,650,deck,starter
ppt-security-awareness,وعي-امني-بوربوينت,Security Awareness PPT,بوربوينت توعية أمنية,700,deck,starter
ppt-health-safety,سلامة-وصحة-بوربوينت,Health & Safety Slides,شرائح صحة وسلامة,750,deck,starter
ppt-elearning-export,تصدير-بوربوينت-تعلم-الكتروني,PPT eLearning Export,تصدير بوربوينت للتعلم الإلكتروني,800,scorm,pro_edu
ppt-h5p-convert,تحويل-h5p-بوربوينت,Convert PPT to H5P,تحويل بوربوينت إلى H5P,550,scorm,pro_edu
ppt-lottie,اضافة-lottie-بوربوينت,Add Lottie Animations PPT,إضافة رسوم Lottie إلى بوربوينت,500,video,business
ppt-screen-record,تسجيل-شاشة-بوربوينت,Screen‑record PPT,تسجيل شاشة بوربوينت,950,video,business
ppt-audio-sync,مزامنة-صوت-بوربوينت,Sync Audio to Slides,مزامنة صوت مع الشرائح,850,video,business
ppt-subtitle-ar,ترجمة-عربية-بوربوينت,Arabic Subtitles PPT,ترجمة عربية للشرائح,1150,video,business
ppt-subtitle-en,ترجمة-انجليزية-بوربوينت,English Subtitles PPT,ترجمة إنجليزية للشرائح,1100,video,business
ppt-slide-gif,بوربوينت-شرائح-gif,Slide to GIF,تحويل شريحة إلى GIF,1250,video,business
ppt-video-thumbnail,صورة-مصغرة-فيديو-بوربوينت,Generate Video Thumbnail,إنشاء صورة مصغرة للفيديو,650,video,business
ppt-sso-guide,دليل-sso-بوربوينت,PPT SSO Guide,دليل SSO لبوربوينت,400,branching,enterprise
ppt-xapi-analytics,xapi-تحليلات-بوربوينت,xAPI Analytics Slides,تحليلات xAPI بوربوينت,450,branching,enterprise
ppt-sla-report,تقرير-sla-بوربوينت,SLA Report PPT,تقرير اتفاقية مستوى الخدمة,350,branching,enterprise
ppt-error-budget,ميزانية-اخطاء-بوربوينت,Error Budget Slides,شرائح ميزانية الأخطاء,300,branching,enterprise
ppt-enterprise-api,api-مؤسسة-بوربوينت,Enterprise PPT API,API بوربوينت مؤسسة,320,branching,enterprise
ppt-data-export,تصدير-بيانات-بوربوينت,Export PPT Data,تصدير بيانات بوربوينت,360,data_charts,business
ppt-json-input,بوربوينت-json,Generate PPT from JSON,إنشاء بوربوينت من JSON,400,data_charts,business
ppt-latex-input,بوربوينت-latex,Generate PPT from LaTeX,إنشاء بوربوينت من LaTeX,380,data_charts,business
ppt-bulk-convert,تحويل-جماعي-بوربوينت,Bulk Convert PPTs,تحويل بوربوينت جماعي,420,deck,business
ppt-cli-tool,اداة-cli-بوربوينت,PPT CLI Tool,أداة سطر أوامر بوربوينت,450,deck,business
ppt-sdk,حزمة-تطوير-بوربوينت,PPT SDK,حزمة تطوير بوربوينت,480,deck,business
ppt-integrations,zapier-بوربوينت,PPT Zapier Integration,تكامل بوربوينت مع Zapier,500,deck,business
ppt-ai-avatar,افاتار-ذكاء-اصطناعي-بوربوينت,AI Avatar Slides,شرائح أفاتار بالذكاء الاصطناعي,900,video,business
ppt-avatar-lip-sync,زامن-شفاه-افاتار,Avatar Lip‑sync PPT,تزامن شفاه أفاتار بوربوينت,650,video,business
ppt-text-to-speech,تحويل-نص-صوت-بوربوينت,Text‑to‑Speech Slides,تحويل النص إلى صوت بوربوينت,950,video,business
